DATE,TIME,"TEMP C","GUST mph",DIR,"AVG mph","HUM %","BARO mb","TREND mb","RAIN DAY mm","RAIN MTH mm","SOLAR W/m2",UV,WEATHER
2018-10-01,00:00:00,9.7,4,WNW,2,77,1024.3,0.5,0,0,0,0,night_time/dry
2018-10-01,00:30:00,9.4,4,NW,1.4,78,1024.6,0.3,0,0,0,0,night_time/dry
2018-10-01,01:00:00,9.1,4,WNW,1.3,79,1024.7,0.4,0,0,0,0,night_time/dry
2018-10-01,01:30:00,8.8,2,WNW,0.3,80,1025,0.5,0,0,0,0,night_time/dry
2018-10-01,02:00:00,8.4,1,WNW,0.9,81,1025.3,0.5,0,0,0,0,night_time/dry
2018-10-01,02:30:00,8.2,0,NW,0,81,1025.4,0.4,0,0,0,0,night_time/dry
2018-10-01,03:00:00,7.7,2,W,1.7,82,1025.7,0.4,0,0,0,0,night_time/dry
2018-10-01,03:30:00,7.3,2,W,2.1,83,1025.6,0.2,0,0,0,0,night_time/dry
2018-10-01,04:00:00,7.3,4,WNW,3.1,84,1025.4,-0.2,0,0,0,0,night_time/dry
2018-10-01,04:30:00,7.4,4,NW,2.5,84,1025.7,0.1,0,0,0,0,night_time/dry
2018-10-01,05:00:00,7.3,2,WNW,2.4,84,1025.9,0.4,0,0,0,0,night_time/dry
2018-10-01,05:30:00,7.6,8,NW,4,84,1026.4,0.7,0,0,0,0,night_time/dry
2018-10-01,06:00:00,7.5,4,WNW,1.8,84,1026.7,0.9,0,0,0,0,night_time/dry
2018-10-01,06:30:00,7.3,4,NW,1.6,84,1026.9,0.4,0,0,0,0,night_time/dry
2018-10-01,07:00:00,6.9,2,WNW,0.7,85,1027,0.3,0,0,0,0,night_time/dry
2018-10-01,07:30:00,6.4,0,NW,0.3,86,1027.3,0.6,0,0,14,0,dawn/dry
2018-10-01,08:00:00,6.3,1,NW,0,87,1027.6,0.6,0,0,26,0,cloudy/dry
2018-10-01,08:30:00,7.7,4,WNW,1,89,1028.1,0.7,0,0,125,0,sunny/dry
2018-10-01,09:00:00,9.8,4,NNW,0.8,84,1028.5,0.9,0,0,204,0.6,sunny/dry
2018-10-01,09:30:00,11.3,4,WNW,1.7,76,1028.9,0.8,0,0,274,0.9,sunny/dry
2018-10-01,10:00:00,12.2,4,WNW,3.2,74,1029.2,0.7,0,0,345,1.3,sunny/dry
2018-10-01,10:30:00,13.2,4,WNW,1.4,69,1029.1,0.3,0,0,406,1.7,sunny/dry
2018-10-01,11:00:00,13.6,5,N,3.6,65,1029.3,0.1,0,0,457,2.1,sunny/dry
2018-10-01,11:30:00,14.1,8,NNE,2.9,63,1029.4,0.3,0,0,506,2.5,sunny/dry
2018-10-01,12:00:00,14.3,5,WNW,2.5,63,1029.2,-0.1,0,0,116,1.8,sunny/dry
2018-10-01,12:30:00,15.2,2,WNW,2.5,59,1028.8,-0.7,0,0,642,3.2,sunny/dry
2018-10-01,13:00:00,15.6,10,WNW,3.3,56,1028.5,-0.7,0,0,343,2.1,partly_cloudy/dry
2018-10-01,13:30:00,14.6,4,SW,3.8,60,1028.3,-0.5,0,0,501,3.1,cloudy/dry
2018-10-01,14:00:00,14.9,7,W,2.2,60,1028.3,-0.1,0,0,478,2.7,cloudy/dry
