"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"10-11-2018 00:00:00",0.04,N,0.00,N
"10-11-2018 00:30:00",0.03,N,0.00,N
"10-11-2018 01:00:00",0.04,N,0.00,N
"10-11-2018 01:30:00",0.03,N,0.00,N
"10-11-2018 02:00:00",0.10,N,0.15,N
"10-11-2018 02:30:00",0.05,N,0.00,N
"10-11-2018 03:00:00",0.06,N,0.00,N
"10-11-2018 03:30:00",0.02,N,0.00,N
"10-11-2018 04:00:00",0.03,N,0.00,N
"10-11-2018 04:30:00",0.02,N,0.00,N
"10-11-2018 05:00:00",0.03,N,0.00,N
"10-11-2018 05:30:00",0.04,N,0.00,N
"10-11-2018 06:00:00",0.02,N,0.00,N
"10-11-2018 06:30:00",0.05,N,0.00,N
"10-11-2018 07:00:00",0.03,N,1.85,N
"10-11-2018 07:30:00",0.07,N,3.68,N
"10-11-2018 08:00:00",0.06,N,1.28,N
"10-11-2018 08:30:00",0.04,N,0.65,N
"10-11-2018 09:00:00",0.06,N,1.82,N
"10-11-2018 09:30:00",0.05,N,1.40,N
"10-11-2018 10:00:00",0.47,N,0.80,N
"10-11-2018 10:30:00",0.35,N,0.00,N
"10-11-2018 11:00:00",0.17,N,2.32,N
"10-11-2018 11:30:00",0.11,N,0.02,N
"10-11-2018 12:00:00",0.05,N,0.00,N
"10-11-2018 12:30:00",0.75,N,2.64,N
"10-11-2018 13:00:00",0.49,N,2.09,N
"10-11-2018 13:30:00",0.38,N,2.01,N
"10-11-2018 14:00:00",0.15,N,2.36,N
"10-11-2018 14:30:00",0.13,N,2.07,N
"10-11-2018 15:00:00",0.20,N,1.92,N
"10-11-2018 15:30:00",0.09,N,2.05,N
"10-11-2018 16:00:00",0.10,N,1.62,N
"10-11-2018 16:30:00",0.10,N,1.62,N
"10-11-2018 17:00:00",0.09,N,1.96,N
"10-11-2018 17:30:00",0.12,N,2.00,N
"10-11-2018 18:00:00",0.10,N,0.49,N
"10-11-2018 18:30:00",0.14,N,0.14,N
"10-11-2018 19:00:00",0.50,N,1.30,N
"10-11-2018 19:30:00",0.71,N,1.78,N
"10-11-2018 20:00:00",0.63,N,2.81,N
"10-11-2018 20:30:00",0.57,N,1.69,N
"10-11-2018 21:00:00",0.32,N,1.58,N
"10-11-2018 21:30:00",0.25,N,2.04,N
"10-11-2018 22:00:00",0.21,N,1.29,N
"10-11-2018 22:30:00",0.30,N,1.19,N
"10-11-2018 23:00:00",0.82,N,1.06,N
"10-11-2018 23:30:00",0.33,N,0.00,N
