"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"01-10-2018 00:00:00",0.07,N,0.83,N
"01-10-2018 00:30:00",0.14,N,0.90,N
"01-10-2018 01:00:00",0.06,N,0.21,N
"01-10-2018 01:30:00",0.06,N,1.37,N
"01-10-2018 02:00:00",0.05,N,0.67,N
"01-10-2018 02:30:00",0.04,N,0.85,N
"01-10-2018 03:00:00",0.05,N,1.29,N
"01-10-2018 03:30:00",0.06,N,1.02,N
"01-10-2018 04:00:00",0.06,N,0.82,N
"01-10-2018 04:30:00",0.05,N,1.01,N
"01-10-2018 05:00:00",0.05,N,0.90,N
"01-10-2018 05:30:00",0.06,N,0.81,N
"01-10-2018 06:00:00",0.06,N,0.84,N
"01-10-2018 06:30:00",0.04,N,0.85,N
"01-10-2018 07:00:00",0.09,N,2.18,N
"01-10-2018 07:30:00",0.08,N,2.44,N
"01-10-2018 08:00:00",0.05,N,1.04,N
"01-10-2018 08:30:00",0.04,N,1.95,N
"01-10-2018 09:00:00",0.06,N,1.35,N
"01-10-2018 09:30:00",0.06,N,1.09,N
"01-10-2018 10:00:00",0.23,N,0.00,N
"01-10-2018 10:30:00",0.07,N,0.00,N
"01-10-2018 11:00:00",0.06,N,0.00,N
"01-10-2018 11:30:00",0.06,N,0.00,N
"01-10-2018 12:00:00",0.06,N,0.00,N
"01-10-2018 12:30:00",0.05,N,0.00,N
"01-10-2018 13:00:00",0.07,N,0.00,N
"01-10-2018 13:30:00",0.07,N,0.00,N
"01-10-2018 14:00:00",0.06,N,0.34,N
"01-10-2018 14:30:00",0.14,N,0.45,N
"01-10-2018 15:00:00",0.07,N,0.00,N
"01-10-2018 15:30:00",0.06,N,0.00,N
"01-10-2018 16:00:00",0.07,N,0.00,N
"01-10-2018 16:30:00",0.11,N,0.20,N
"01-10-2018 17:00:00",0.06,N,0.00,N
"01-10-2018 17:30:00",0.08,N,0.00,N
"01-10-2018 18:00:00",0.20,N,2.94,N
"01-10-2018 18:30:00",1.37,N,0.86,N
"01-10-2018 19:00:00",0.31,N,0.43,N
"01-10-2018 19:30:00",0.50,N,0.27,N
"01-10-2018 20:00:00",0.76,N,1.19,N
"01-10-2018 20:30:00",0.58,N,0.00,N
"01-10-2018 21:00:00",0.19,N,1.53,N
"01-10-2018 21:30:00",0.50,N,0.58,N
"01-10-2018 22:00:00",0.74,N,0.47,N
"01-10-2018 22:30:00",0.42,N,0.94,N
"01-10-2018 23:00:00",0.34,N,0.00,N
"01-10-2018 23:30:00",0.05,N,0.00,N
