"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"08-12-2018 00:00:00",0.18,N,0.06,N
"08-12-2018 00:30:00",0.25,N,0.02,N
"08-12-2018 01:00:00",0.04,N,0.00,N
"08-12-2018 01:30:00",0.03,N,0.00,N
"08-12-2018 02:00:00",0.06,N,0.16,N
"08-12-2018 02:30:00",0.02,N,0.00,N
"08-12-2018 03:00:00",0.04,N,0.00,N
"08-12-2018 03:30:00",0.02,N,0.00,N
"08-12-2018 04:00:00",0.04,N,0.00,N
"08-12-2018 04:30:00",0.01,N,0.00,N
"08-12-2018 05:00:00",0.04,N,0.00,N
"08-12-2018 05:30:00",0.02,N,0.00,N
"08-12-2018 06:00:00",0.05,N,0.00,N
"08-12-2018 06:30:00",0.02,N,0.00,N
"08-12-2018 07:00:00",0.06,N,1.84,N
"08-12-2018 07:30:00",0.06,N,5.04,N
"08-12-2018 08:00:00",0.07,N,1.38,N
"08-12-2018 08:30:00",0.05,N,0.97,N
"08-12-2018 09:00:00",0.03,N,0.00,N
"08-12-2018 09:30:00",0.06,N,2.47,N
"08-12-2018 10:00:00",0.02,N,0.00,N
"08-12-2018 10:30:00",0.06,N,1.11,N
"08-12-2018 11:00:00",0.38,N,3.52,N
"08-12-2018 11:30:00",0.28,N,0.00,N
"08-12-2018 12:00:00",0.21,N,0.30,N
"08-12-2018 12:30:00",0.05,N,0.29,N
"08-12-2018 13:00:00",0.05,N,0.00,N
"08-12-2018 13:30:00",0.05,N,0.00,N
"08-12-2018 14:00:00",0.04,N,0.00,N
"08-12-2018 14:30:00",0.05,N,0.00,N
"08-12-2018 15:00:00",0.06,N,2.53,N
"08-12-2018 15:30:00",0.07,N,2.13,N
"08-12-2018 16:00:00",0.06,N,2.45,N
"08-12-2018 16:30:00",0.04,N,0.19,N
"08-12-2018 17:00:00",0.06,N,1.80,N
"08-12-2018 17:30:00",0.14,N,0.05,N
"08-12-2018 18:00:00",0.21,N,0.00,N
"08-12-2018 18:30:00",0.21,N,0.00,N
"08-12-2018 19:00:00",0.25,N,2.50,N
"08-12-2018 19:30:00",0.25,N,1.78,N
"08-12-2018 20:00:00",0.25,N,3.34,N
"08-12-2018 20:30:00",0.26,N,1.67,N
"08-12-2018 21:00:00",0.82,N,2.11,N
"08-12-2018 21:30:00",0.46,N,2.31,N
"08-12-2018 22:00:00",0.24,N,2.50,N
"08-12-2018 22:30:00",0.24,N,0.92,N
"08-12-2018 23:00:00",0.29,N,2.01,N
"08-12-2018 23:30:00",0.07,N,1.38,N
