"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"24-11-2018 00:00:00",0.12,N,0.00,N
"24-11-2018 00:30:00",0.09,N,0.00,N
"24-11-2018 01:00:00",0.12,N,0.00,N
"24-11-2018 01:30:00",0.08,N,0.00,N
"24-11-2018 02:00:00",0.05,N,0.00,N
"24-11-2018 02:30:00",0.06,N,0.00,N
"24-11-2018 03:00:00",0.03,N,0.00,N
"24-11-2018 03:30:00",0.04,N,0.00,N
"24-11-2018 04:00:00",0.05,N,0.00,N
"24-11-2018 04:30:00",0.03,N,0.00,N
"24-11-2018 05:00:00",0.04,N,0.00,N
"24-11-2018 05:30:00",0.05,N,0.00,N
"24-11-2018 06:00:00",0.03,N,0.00,N
"24-11-2018 06:30:00",0.04,N,0.00,N
"24-11-2018 07:00:00",0.07,N,2.75,N
"24-11-2018 07:30:00",0.07,N,6.30,N
"24-11-2018 08:00:00",0.07,N,2.73,N
"24-11-2018 08:30:00",0.09,N,1.41,N
"24-11-2018 09:00:00",0.03,N,0.00,N
"24-11-2018 09:30:00",0.03,N,1.04,N
"24-11-2018 10:00:00",0.06,N,1.93,N
"24-11-2018 10:30:00",0.04,N,2.32,N
"24-11-2018 11:00:00",0.16,N,1.10,N
"24-11-2018 11:30:00",0.12,N,0.02,N
"24-11-2018 12:00:00",0.05,N,0.42,N
"24-11-2018 12:30:00",0.13,N,0.46,N
"24-11-2018 13:00:00",0.86,N,0.26,N
"24-11-2018 13:30:00",0.30,N,0.15,N
"24-11-2018 14:00:00",0.24,N,0.00,N
"24-11-2018 14:30:00",0.24,N,0.00,N
"24-11-2018 15:00:00",0.12,N,0.20,N
"24-11-2018 15:30:00",0.13,N,0.00,N
"24-11-2018 16:00:00",0.60,N,0.00,N
"24-11-2018 16:30:00",0.37,N,1.67,N
"24-11-2018 17:00:00",0.14,N,1.78,N
"24-11-2018 17:30:00",0.14,N,0.00,N
"24-11-2018 18:00:00",0.21,N,0.36,N
"24-11-2018 18:30:00",0.27,N,2.02,N
"24-11-2018 19:00:00",0.21,N,1.92,N
"24-11-2018 19:30:00",0.36,N,2.57,N
"24-11-2018 20:00:00",0.77,N,6.00,N
"24-11-2018 20:30:00",0.13,N,3.01,N
"24-11-2018 21:00:00",0.14,N,2.83,N
"24-11-2018 21:30:00",0.14,N,3.18,N
"24-11-2018 22:00:00",0.21,N,3.55,N
"24-11-2018 22:30:00",0.14,N,3.10,N
"24-11-2018 23:00:00",0.13,N,2.36,N
"24-11-2018 23:30:00",0.39,N,1.47,N
