"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"25-11-2018 00:00:00",0.38,N,0.00,N
"25-11-2018 00:30:00",0.24,N,0.00,N
"25-11-2018 01:00:00",0.26,N,0.00,N
"25-11-2018 01:30:00",0.19,N,0.00,N
"25-11-2018 02:00:00",0.16,N,0.00,N
"25-11-2018 02:30:00",0.09,N,0.00,N
"25-11-2018 03:00:00",0.07,N,0.00,N
"25-11-2018 03:30:00",0.10,N,0.00,N
"25-11-2018 04:00:00",0.06,N,0.00,N
"25-11-2018 04:30:00",0.06,N,0.00,N
"25-11-2018 05:00:00",0.10,N,0.00,N
"25-11-2018 05:30:00",0.07,N,0.00,N
"25-11-2018 06:00:00",0.07,N,0.00,N
"25-11-2018 06:30:00",0.09,N,0.00,N
"25-11-2018 07:00:00",0.10,N,2.75,N
"25-11-2018 07:30:00",0.11,N,6.30,N
"25-11-2018 08:00:00",0.11,N,2.73,N
"25-11-2018 08:30:00",0.12,N,1.41,N
"25-11-2018 09:00:00",0.07,N,0.00,N
"25-11-2018 09:30:00",0.22,N,1.04,N
"25-11-2018 10:00:00",0.10,N,1.93,N
"25-11-2018 10:30:00",0.05,N,2.32,N
"25-11-2018 11:00:00",0.08,N,1.10,N
"25-11-2018 11:30:00",0.38,N,0.02,N
"25-11-2018 12:00:00",0.70,N,0.42,N
"25-11-2018 12:30:00",0.42,N,0.46,N
"25-11-2018 13:00:00",0.61,N,0.26,N
"25-11-2018 13:30:00",0.55,N,0.15,N
"25-11-2018 14:00:00",0.17,N,0.00,N
"25-11-2018 14:30:00",0.47,N,0.00,N
"25-11-2018 15:00:00",0.47,N,0.20,N
"25-11-2018 15:30:00",0.25,N,0.00,N
"25-11-2018 16:00:00",0.23,N,0.00,N
"25-11-2018 16:30:00",0.21,N,1.67,N
"25-11-2018 17:00:00",0.29,N,1.78,N
"25-11-2018 17:30:00",0.15,N,0.00,N
"25-11-2018 18:00:00",0.30,N,0.36,N
"25-11-2018 18:30:00",1.00,N,2.02,N
"25-11-2018 19:00:00",1.30,N,1.92,N
"25-11-2018 19:30:00",0.76,N,2.57,N
"25-11-2018 20:00:00",0.32,N,6.00,N
"25-11-2018 20:30:00",0.18,N,3.01,N
"25-11-2018 21:00:00",0.13,N,2.83,N
"25-11-2018 21:30:00",0.20,N,3.18,N
"25-11-2018 22:00:00",0.21,N,3.55,N
"25-11-2018 22:30:00",0.12,N,3.10,N
"25-11-2018 23:00:00",0.09,N,2.36,N
"25-11-2018 23:30:00",0.08,N,1.47,N
