"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"07-10-2018 00:00:00",0.07,N,0.00,N
"07-10-2018 00:30:00",0.07,N,0.00,N
"07-10-2018 01:00:00",0.03,N,0.00,N
"07-10-2018 01:30:00",0.06,N,0.00,N
"07-10-2018 02:00:00",0.03,N,0.00,N
"07-10-2018 02:30:00",0.05,N,0.00,N
"07-10-2018 03:00:00",0.03,N,0.00,N
"07-10-2018 03:30:00",0.05,N,0.00,N
"07-10-2018 04:00:00",0.03,N,0.00,N
"07-10-2018 04:30:00",0.05,N,0.00,N
"07-10-2018 05:00:00",0.03,N,0.00,N
"07-10-2018 05:30:00",0.06,N,0.00,N
"07-10-2018 06:00:00",0.05,N,1.90,N
"07-10-2018 06:30:00",0.09,N,2.36,N
"07-10-2018 07:00:00",0.06,N,1.03,N
"07-10-2018 07:30:00",0.07,N,1.26,N
"07-10-2018 08:00:00",0.08,N,0.99,N
"07-10-2018 08:30:00",0.06,N,1.47,N
"07-10-2018 09:00:00",0.40,N,0.00,N
"07-10-2018 09:30:00",0.29,N,0.00,N
"07-10-2018 10:00:00",0.20,N,0.00,N
"07-10-2018 10:30:00",0.11,N,0.00,N
"07-10-2018 11:00:00",0.05,N,0.35,N
"07-10-2018 11:30:00",0.12,N,2.99,N
"07-10-2018 12:00:00",0.04,N,1.01,N
"07-10-2018 12:30:00",0.15,N,0.21,N
"07-10-2018 13:00:00",0.76,N,0.29,N
"07-10-2018 13:30:00",0.11,N,0.10,N
"07-10-2018 14:00:00",0.26,N,0.48,N
"07-10-2018 14:30:00",0.67,N,0.77,N
"07-10-2018 15:00:00",0.41,N,0.00,N
"07-10-2018 15:30:00",0.13,N,0.01,N
"07-10-2018 16:00:00",0.19,N,0.28,N
"07-10-2018 16:30:00",0.22,N,0.21,N
"07-10-2018 17:00:00",0.16,N,0.00,N
"07-10-2018 17:30:00",0.41,N,2.69,N
"07-10-2018 18:00:00",1.76,N,1.54,N
"07-10-2018 18:30:00",0.30,N,1.26,N
"07-10-2018 19:00:00",0.88,N,1.47,N
"07-10-2018 19:30:00",0.94,N,1.38,N
"07-10-2018 20:00:00",1.10,N,1.09,N
"07-10-2018 20:30:00",0.23,N,1.30,N
"07-10-2018 21:00:00",0.15,N,1.00,N
"07-10-2018 21:30:00",0.14,N,1.06,N
"07-10-2018 22:00:00",0.12,N,1.02,N
"07-10-2018 22:30:00",0.20,N,1.08,N
"07-10-2018 23:00:00",0.10,N,0.00,N
"07-10-2018 23:30:00",0.11,N,0.00,N
