DATE,TIME,"TEMP C","GUST mph",DIR,"AVG mph","HUM %","BARO mb","TREND mb","RAIN DAY mm","RAIN MTH mm","SOLAR W/m2",UV,WEATHER
2018-09-01,00:00:00,14.3,2,S,0.3,83,1024.3,-0.1,0,0,0,0,night_time/dry
2018-09-01,00:30:00,14.1,4,SSE,2.6,85,1024.2,-0.1,0,0,0,0,night_time/dry
2018-09-01,01:00:00,13.9,4,SSE,0.6,87,1024.2,-0.1,0,0,0,0,night_time/dry
2018-09-01,01:30:00,13.8,2,SSE,1.3,89,1024.3,0,0,0,0,0,night_time/dry
2018-09-01,02:00:00,14,4,SSE,2.4,91,1024.2,0,0,0,0,0,night_time/dry
2018-09-01,03:00:00,14.1,1,S,0.5,92,1024.1,-0.1,0,0,0,0,night_time/dry
2018-09-01,03:30:00,14.1,4,SSE,1.7,93,1024.3,0.3,0,0,0,0,night_time/dry
2018-09-01,04:00:00,14.1,2,SSE,1.3,93,1024.5,0.4,0,0,0,0,night_time/dry
2018-09-01,04:30:00,14.2,2,SSE,1.2,93,1024.5,0.2,0,0,0,0,night_time/dry
2018-09-01,05:00:00,14.2,0,SSE,0.1,93,1024.3,-0.2,0,0,0,0,night_time/dry
2018-09-01,05:30:00,14.2,4,SSE,1.8,93,1024.1,-0.3,0,0,0,0,night_time/dry
2018-09-01,06:00:00,14.2,4,SE,1,93,1024.2,-0.1,0,0,0,0,night_time/dry
2018-09-01,06:30:00,14.2,4,SE,2.4,93,1024.3,0.2,0,0,0,0,dawn/dry
2018-09-01,07:00:00,14.3,5,SSE,2.2,93,1024.5,0.2,0,0,18,0,mainly_cloudy/dry
2018-09-01,07:30:00,14.5,2,SE,1.5,93,1024.6,0.3,0,0,39,0,mainly_cloudy/dry
2018-09-01,08:00:00,14.8,5,SSE,1.6,93,1024.7,0.3,0,0,72,0,cloudy/dry
2018-09-01,08:30:00,15.1,4,SSE,3.1,93,1024.9,0.3,0,0,93,0.5,mainly_cloudy/dry
2018-09-01,09:00:00,15.4,5,SE,3.9,92,1025.2,0.4,0,0,121,0.7,mainly_cloudy/dry
2018-09-01,09:30:00,16,2,SE,2.3,91,1025.5,0.6,0,0,165,1,mainly_cloudy/dry
2018-09-01,10:00:00,16.7,5,ESE,1.8,88,1025.6,0.4,0,0,221,1.5,cloudy/dry
2018-09-01,10:30:00,17.6,7,S,1.6,85,1025.7,0.2,0,0,244,1.8,cloudy/dry
2018-09-01,11:00:00,18.8,9,SE,3.9,81,1025.6,0,0,0,285,2.2,cloudy/dry
2018-09-01,11:30:00,19.6,4,S,1.6,81,1025.4,-0.3,0,0,392,2.9,sunny/dry
2018-09-01,12:00:00,20.4,4,S,2.6,76,1025.5,-0.1,0,0,418,3.1,partly_cloudy/dry
2018-09-01,12:30:00,20.9,7,SE,3.2,67,1025.4,0,0,0,336,2.9,cloudy/dry
2018-09-01,13:00:00,21.3,7,SSE,3.9,63,1025.3,-0.2,0,0,325,2.9,cloudy/dry
2018-09-01,13:30:00,21.9,6,SE,2.2,62,1025.4,-0.1,0,0,461,3.6,partly_cloudy/dry
2018-09-01,14:00:00,22.2,5,SSW,3.8,64,1025.4,0,0,0,499,3.5,partly_cloudy/dry
2018-09-01,14:30:00,22.7,6,WSW,3.6,63,1025.3,-0.1,0,0,499,3.4,partly_cloudy/dry
2018-09-01,15:00:00,22.5,4,W,2.5,64,1025.2,-0.2,0,0,355,2.6,cloudy/dry
2018-09-01,15:30:00,22.8,6,SSW,2.8,62,1024.9,-0.3,0,0,346,2.3,partly_cloudy/dry
2018-09-01,16:00:00,23,6,SW,3.6,61,1025,-0.2,0,0,353,2.2,partly_cloudy/dry
2018-09-01,16:30:00,22.8,9,SSW,5.4,60,1024.8,-0.2,0,0,318,1.7,cloudy/dry
2018-09-01,17:00:00,22.3,5,S,3.5,61,1024.7,-0.3,0,0,209,1.1,cloudy/dry
2018-09-01,17:30:00,22.3,4,SSE,2.8,61,1024.6,-0.1,0,0,165,0.8,cloudy/dry
2018-09-01,18:00:00,22.1,4,S,2.8,61,1024.6,-0.1,0,0,113,0.5,cloudy/dry
2018-09-01,18:30:00,21.9,6,S,6.1,61,1024.7,0,0,0,67,0,mainly_cloudy/dry
2018-09-01,19:00:00,21.6,4,SSW,3.5,63,1024.8,0.1,0,0,35,0,mainly_cloudy/dry
2018-09-01,19:30:00,21.3,4,SW,3,64,1024.9,0.2,0,0,11,0,dusk/dry
2018-09-01,20:00:00,20.9,2,SW,0.8,66,1025,0.3,0,0,0,0,dusk/dry
2018-09-01,20:30:00,20.7,2,S,1.4,67,1025.1,0.3,0,0,0,0,night_time/dry
2018-09-01,21:00:00,20.4,4,SSW,2.3,67,1025.3,0.3,0,0,0,0,night_time/dry
2018-09-01,21:30:00,19.9,10,SSE,6,71,1025.5,0.3,0,0,0,0,night_time/dry
2018-09-01,22:00:00,19.4,8,S,4.7,71,1025.6,0.2,0,0,0,0,night_time/dry
2018-09-01,22:30:00,18.8,9,SE,3.5,69,1025.7,0.2,0,0,0,0,night_time/dry
2018-09-01,23:00:00,18.4,9,SE,5.4,69,1025.7,0.1,0,0,0,0,night_time/dry
2018-09-01,23:30:00,18.1,9,SE,4.4,69,1025.8,0.1,0,0,0,0,night_time/dry
2018-09-02,00:00:00,17.8,4,SSE,3,69,1025.7,0.1,0,0,0,0,night_time/dry
2018-09-02,01:00:00,17.4,6,SSE,2.1,73,1025.5,-0.2,0,0,0,0,night_time/dry
2018-09-02,01:30:00,17.3,12,S,5.6,72,1025.5,0,0,0,0,0,night_time/dry
2018-09-02,02:00:00,17.2,12,S,4,72,1025.5,-0.1,0,0,0,0,night_time/dry
2018-09-02,02:30:00,17.1,5,SSE,3.1,72,1025.4,-0.1,0,0,0,0,night_time/dry
2018-09-02,03:00:00,16.9,4,SE,1.6,72,1025.3,-0.2,0,0,0,0,night_time/dry
2018-09-02,03:30:00,16.9,4,S,2,69,1025.2,-0.2,0,0,0,0,night_time/dry
2018-09-02,04:00:00,16.9,8,SSE,2.4,68,1025,-0.2,0,0,0,0,night_time/dry
2018-09-02,04:30:00,16.9,4,ESE,2.1,67,1024.7,-0.5,0,0,0,0,night_time/dry
2018-09-02,05:00:00,16.8,7,SSE,4.1,67,1024.7,-0.3,0,0,0,0,night_time/dry
2018-09-02,05:30:00,16.8,4,SSE,1.6,69,1024.6,-0.1,0,0,0,0,night_time/dry
2018-09-02,06:00:00,16.7,2,SSE,0,71,1024.5,-0.2,0,0,0,0,night_time/dry
2018-09-02,06:30:00,16.6,1,ESE,0.5,74,1024.6,-0.1,0,0,0,0,dawn/dry
2018-09-02,07:00:00,16.6,2,E,1.7,75,1024.7,0.2,0,0,11,0,mainly_cloudy/dry
2018-09-02,07:30:00,16.7,4,SSE,1,76,1024.8,0.2,0,0,21,0,overcast/dry
2018-09-02,08:00:00,16.8,2,SE,1,78,1024.8,0.1,0,0,33,0,overcast/dry
2018-09-02,08:30:00,17,5,SE,3.3,78,1025,0.2,0,0,58,0,overcast/dry
2018-09-02,09:00:00,17.3,5,SE,2.8,78,1025.1,0.4,0,0,160,0.8,cloudy/dry
2018-09-02,09:30:00,17.7,7,ESE,2.9,78,1025.1,0.1,0,0,116,0.7,mainly_cloudy/dry
2018-09-02,10:00:00,18.2,4,SSE,2.3,78,1024.9,-0.2,0,0,250,1.7,partly_cloudy/dry
2018-09-02,10:30:00,18.8,6,SE,1.6,75,1025,-0.1,0,0,232,1.4,cloudy/dry
2018-09-02,11:00:00,19.1,7,SE,2.5,74,1024.9,0,0,0,179,1.4,mainly_cloudy/dry
2018-09-02,11:30:00,19.3,8,ENE,3.3,73,1024.8,-0.2,0,0,237,1.9,mainly_cloudy/dry
2018-09-02,12:00:00,20,7,SSE,5.1,70,1024.5,-0.4,0,0,260,2.2,cloudy/dry
2018-09-02,12:30:00,20.1,9,SE,4.6,69,1024.2,-0.6,0,0,211,1.8,mainly_cloudy/dry
2018-09-02,13:00:00,20.6,8,S,6.7,66,1024.1,-0.4,0,0,302,2.6,cloudy/dry
2018-09-02,13:30:00,21.3,8,SSW,3.9,63,1023.8,-0.5,0,0,533,3.8,partly_cloudy/dry
