DATE,TIME,"TEMP C","GUST mph",DIR,"AVG mph","HUM %","BARO mb","TREND mb","RAIN DAY mm","RAIN MTH mm","SOLAR W/m2",UV,WEATHER
2018-12-01,00:00:00,7.7,6,SW,4.4,88,1009.9,0.3,0,0,0,0,night_time/dry
2018-12-01,00:30:00,7.8,9,SW,5.4,88,1009.2,-0.6,0,0,0,0,night_time/dry
2018-12-01,01:00:00,8.1,10,SW,4.7,89,1008.7,-1.2,0,0,0,0,night_time/dry
2018-12-01,01:30:00,8.2,6,SW,5.5,87,1008.5,-0.7,0,0,0,0,night_time/dry
2018-12-01,02:00:00,8.4,9,SSW,4.9,87,1008.4,-0.3,0,0,0,0,night_time/dry
2018-12-01,03:00:00,8.7,5,SW,1.6,88,1007.5,-0.9,0,0,0,0,night_time/dry
2018-12-01,03:30:00,8.8,5,S,2,90,1006.9,-1.2,0.2,0.2,0,0,night_time/raining_lightly
2018-12-01,04:00:00,8.8,4,SSE,0.7,91,1006.3,-1.2,0.2,0.2,0,0,night_time/dry
2018-12-01,04:30:00,8.9,9,SW,3.9,92,1005.7,-1.2,0.2,0.2,0,0,night_time/dry
2018-12-01,05:00:00,9.1,6,SSE,3.6,92,1005.3,-1.1,0.4,0.4,0,0,night_time/raining_lightly
2018-12-01,05:30:00,8.9,5,SSE,2.5,93,1004.6,-1.2,0.6,0.6,0,0,night_time/rain_has_stopped
2018-12-01,06:00:00,8.8,13,S,5.9,93,1004,-1.3,2.6,2.6,0,0,night_time/raining_moderately
2018-12-01,06:30:00,8.8,10,ESE,6.1,94,1003.3,-1.3,4,4,0,0,night_time/raining_lightly
2018-12-01,07:00:00,9.1,13,SE,7.9,95,1002.3,-1.7,5.2,5.2,0,0,night_time/raining_lightly
2018-12-01,07:30:00,9.4,12,SE,5.8,95,1001.5,-1.7,6.4,6.4,0,0,dawn/raining
2018-12-01,08:00:00,9.7,12,SE,8.4,96,1001,-1.4,6.8,6.8,0,0,dawn/rain_has_stopped
2018-12-01,08:30:00,10.1,12,S,7.2,96,1000.3,-1.3,7,7,5,0,mainly_cloudy/rain_has_stopped
2018-12-01,09:00:00,10.3,8,S,4.6,96,1000.3,-0.7,7,7,9,0,overcast/dry
2018-12-01,09:30:00,10.6,8,SSE,4,96,999.7,-0.5,7,7,23,0,mainly_cloudy/dry
2018-12-01,10:00:00,10.9,7,S,3.5,96,999.6,-0.7,7.2,7.2,39,0,mainly_cloudy/rain_has_stopped
2018-12-01,10:30:00,11.4,7,S,5.1,96,999.4,-0.3,7.2,7.2,47,0,mainly_cloudy/dry
2018-12-01,11:00:00,12,7,WSW,5.5,96,999.4,-0.1,7.2,7.2,104,0.5,cloudy/dry
2018-12-01,11:30:00,12.5,8,WSW,1.4,96,999.6,0.2,7.2,7.2,63,0,mainly_cloudy/dry
2018-12-01,12:00:00,12.7,8,W,3.9,96,999.3,-0.1,7.2,7.2,72,0,overcast/dry
2018-12-01,12:30:00,12.6,9,WSW,4.8,96,999.4,-0.3,7.4,7.4,113,0.5,cloudy/raining_lightly
2018-12-01,13:00:00,12.2,7,WSW,6.3,96,999.1,-0.2,7.4,7.4,47,0,overcast/rain_has_stopped
2018-12-01,13:30:00,12.1,5,SW,4.1,95,999.2,-0.2,7.4,7.4,72,0,cloudy/dry
2018-12-01,14:00:00,11.9,8,WSW,2.9,95,999.1,-0.1,7.4,7.4,60,0,cloudy/dry
2018-12-01,14:30:00,11.7,5,WNW,6,95,999,-0.2,7.4,7.4,18,0,overcast/dry
2018-12-01,15:00:00,11.4,12,W,4.9,94,999.1,0,7.4,7.4,33,0,cloudy/dry
2018-12-01,15:30:00,11.3,6,WSW,8.2,93,999.4,0.4,7.4,7.4,9,0,overcast/dry
2018-12-01,16:00:00,11.2,5,W,5.6,93,999.1,0.2,7.4,7.4,0,0,dusk/dry
2018-12-01,16:30:00,11.2,4,WSW,3.7,93,999.4,0,7.4,7.4,0,0,dusk/dry
2018-12-01,17:00:00,11.2,4,SW,3.8,92,999.1,0,7.4,7.4,0,0,night_time/dry
2018-12-01,17:30:00,11,8,WSW,4.4,92,999.2,-0.2,7.4,7.4,0,0,night_time/dry
2018-12-01,18:00:00,10.9,4,WSW,1.8,92,999.1,0,7.4,7.4,0,0,night_time/dry
2018-12-01,18:30:00,10.9,9,SW,3.3,91,998.8,-0.4,7.4,7.4,0,0,night_time/dry
2018-12-01,19:00:00,10.8,5,SSW,2.5,91,998.8,-0.3,7.4,7.4,0,0,night_time/dry
2018-12-01,19:30:00,10.7,6,SW,5.5,91,998.5,-0.2,7.4,7.4,0,0,night_time/dry
2018-12-01,20:00:00,10.7,9,SW,5.8,91,998.5,-0.3,7.4,7.4,0,0,night_time/dry
2018-12-01,20:30:00,10.8,8,SW,4.4,90,998.4,-0.1,7.4,7.4,0,0,night_time/dry
2018-12-01,21:00:00,10.8,4,SSW,2.1,92,997.4,-1,7.4,7.4,0,0,night_time/dry
2018-12-01,21:30:00,10.7,8,SW,2.9,92,997,-1.5,7.4,7.4,0,0,night_time/dry
2018-12-01,22:00:00,10.7,5,SW,1.7,93,996.8,-0.6,8,8,0,0,night_time/raining_lightly
2018-12-01,22:30:00,10.7,5,SSE,2,93,996.1,-0.8,9.4,9.4,0,0,night_time/raining
2018-12-01,23:00:00,10.9,6,SSE,2.9,94,995.8,-1,9.8,9.8,0,0,night_time/raining_lightly
2018-12-01,23:30:00,11.2,5,SSW,1.4,95,995.6,-0.6,9.8,9.8,0,0,night_time/dry
2018-12-02,00:00:00,12.2,10,W,5.4,96,995.5,-0.3,0,10,0,0,night_time/rain_has_stopped
2018-12-02,00:30:00,12.6,12,W,4.3,96,995.4,-0.2,0.6,10.6,0,0,night_time/raining_lightly
2018-12-02,01:00:00,12.7,9,S,4.1,96,995.2,-0.2,1.6,11.6,0,0,night_time/raining
2018-12-02,01:30:00,12.8,9,SW,4.5,96,995.1,-0.3,2.4,12.4,0,0,night_time/raining_lightly
2018-12-02,02:00:00,12.9,10,SW,4.9,96,995.2,-0.1,2.6,12.6,0,0,night_time/rain_has_stopped
2018-12-02,03:00:00,12.7,15,W,8.4,96,995.5,0.3,3,13,0,0,night_time/dry
2018-12-02,03:30:00,12.7,15,SSW,9.1,96,995.4,0,3,13,0,0,night_time/windy
2018-12-02,04:00:00,12.6,14,W,8.6,96,995.3,-0.2,3.2,13.2,0,0,night_time/raining_lightly
2018-12-02,04:30:00,12.4,16,W,7.1,96,995.6,0.1,3.2,13.2,0,0,night_time/dry
2018-12-02,05:00:00,12.3,9,W,8.9,96,995.9,0.5,3.2,13.2,0,0,night_time/dry
2018-12-02,05:30:00,12.3,16,WNW,7.5,96,996.1,0.5,3.2,13.2,0,0,night_time/dry
2018-12-02,06:00:00,12.2,16,W,7.5,96,996.4,0.6,3.2,13.2,0,0,night_time/dry
2018-12-02,06:30:00,12.3,12,SE,7,96,996.6,0.4,3.2,13.2,0,0,night_time/dry
2018-12-02,07:00:00,12.1,12,W,7.9,96,996.9,0.4,3.2,13.2,0,0,night_time/dry
2018-12-02,07:30:00,11.9,20,W,9.7,96,997.2,0.7,3.2,13.2,0,0,dawn/dry
2018-12-02,08:00:00,11.9,12,W,6.8,96,997.4,0.6,3.2,13.2,0,0,dawn/dry
2018-12-02,08:30:00,12.1,10,WSW,2.8,96,997.7,0.3,3.6,13.6,9,0,cloudy/raining_lightly
2018-12-02,09:00:00,12.2,13,W,7.7,96,997.9,0.4,3.8,13.8,16,0,cloudy/rain_has_stopped
2018-12-02,09:30:00,11.9,15,WNW,6.4,96,998,0.4,3.8,13.8,70,0,partly_cloudy/dry
2018-12-02,10:00:00,12.2,10,WNW,5.8,96,998,0.1,3.8,13.8,39,0,mainly_cloudy/dry
2018-12-02,10:30:00,12.2,10,SW,4.5,96,998.5,0.4,3.8,13.8,46,0,mainly_cloudy/dry
2018-12-02,11:00:00,12.4,8,NW,9.3,94,998.5,0.5,3.8,13.8,53,0,mainly_cloudy/dry
2018-12-02,11:30:00,12.6,13,WNW,5.3,93,998.6,0.1,3.8,13.8,35,0,overcast/dry
2018-12-02,12:00:00,12.3,7,WSW,4,94,998.4,-0.1,4,14,77,0.5,mainly_cloudy/raining_lightly
2018-12-02,12:30:00,12.4,7,W,2,94,998.4,-0.2,4,14,81,0,mainly_cloudy/dry
2018-12-02,13:00:00,12.7,9,WSW,6,94,998.2,-0.1,4,14,58,0,overcast/dry
2018-12-02,13:30:00,12.6,8,WSW,3.5,94,998.1,-0.4,4,14,37,0,overcast/dry
2018-12-02,14:00:00,12.3,7,SSW,2.5,94,997.7,-0.7,4.2,14.2,18,0,overcast/rain_has_stopped
2018-12-02,14:30:00,12.4,8,SSW,3.6,95,997.5,-0.4,4.2,14.2,5,0,overcast/dry
2018-12-02,15:00:00,12.7,9,S,4.4,95,997.5,-0.1,4.6,14.6,14,0,overcast/raining_lightly
2018-12-02,15:30:00,12.8,8,SW,2.5,95,997.4,-0.2,4.6,14.6,5,0,overcast/dry
